ID/ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
1,0.0,30.82,85.92,16.48,49.16,36.17,32.82,33.75,67.13,32.1,35.75,31.59,28.98,58.62,28.78,28.49,17.3,59.13,36.3,4.13,122.32,54.36,50.54,51.81,70.28,70.28,30.68,25.18,58.71,89.87,89.68,9.68,523.35,4.77,70.28,27.78,108.54,11.91,48.79,55.8,38.64,19.14,71.12,25.5,12.25,15.03,12.03,57.44,8.64,37.57,43.17,25.5,11.19,54.36
2,30.44,0.0,111.24,10.66,52.89,26.6,22.25,24.18,43.87,36.33,7.19,22.02,33.21,62.35,33.0,32.72,45.89,62.87,40.04,19.13,99.05,58.09,34.47,55.54,74.01,74.01,28.88,50.32,47.0,122.0,109.01,31.45,527.08,18.8,74.01,7.24,85.27,31.82,72.29,59.54,42.37,33.13,103.98,18.67,37.5,11.33,40.77,61.18,23.63,61.42,59.08,18.67,20.59,58.09
3,86.16,110.69,0.0,101.52,116.17,115.77,102.92,113.35,145.05,104.24,110.53,111.19,103.13,95.04,101.55,100.29,68.04,90.84,103.32,89.12,190.01,121.37,130.69,118.82,61.51,61.51,104.43,66.58,125.73,23.83,7.67,77.9,461.85,89.76,61.51,107.38,176.23,85.74,44.3,76.47,90.65,81.91,55.12,105.1,77.84,101.99,76.38,124.46,94.66,64.24,76.59,105.1,90.78,121.37
4,16.06,10.35,101.55,0.0,43.2,27.36,18.1,24.94,53.65,26.64,11.96,22.78,23.52,52.66,23.31,23.02,43.92,53.17,30.34,13.28,110.87,48.39,38.49,45.84,64.32,64.32,22.03,40.63,44.4,112.31,99.32,32.54,517.39,12.95,64.32,17.41,97.09,22.12,62.6,49.84,32.68,23.44,94.28,16.69,27.81,1.8,31.08,51.48,17.78,76.59,57.11,16.69,11.87,48.39
5,46.55,50.06,112.85,40.89,0.0,67.07,29.54,64.65,67.94,14.0,41.65,62.49,16.97,24.04,16.02,18.27,55.72,29.74,11.38,44.53,102.18,10.71,33.21,8.16,56.46,56.46,16.19,52.11,18.27,104.45,105.99,48.03,509.53,45.98,56.46,54.18,88.4,37.61,67.7,41.98,21.63,33.84,105.76,56.4,43.3,41.37,46.57,13.8,39.05,88.07,100.42,56.4,53.83,10.71
6,38.76,30.59,118.1,31.0,71.88,0.0,46.23,5.09,49.78,55.32,36.51,8.2,52.2,81.34,52.0,51.71,54.21,81.86,59.03,38.96,123.08,77.08,58.5,74.53,93.0,93.0,53.9,69.32,72.54,141.0,121.86,48.5,546.08,39.6,93.0,24.81,109.29,50.81,88.32,78.53,61.36,52.12,103.29,21.03,51.07,32.26,50.86,80.17,43.48,58.41,52.33,21.03,28.91,77.08
7,33.36,22.24,103.8,18.51,32.94,43.13,0.0,40.71,44.7,21.18,15.92,38.56,20.17,49.58,19.96,19.68,42.53,50.1,24.17,31.34,92.02,32.67,20.01,35.59,63.25,63.25,16.91,42.88,28.57,111.24,101.56,34.84,516.32,32.79,63.25,23.87,78.23,24.42,64.84,48.77,32.44,26.54,96.53,34.3,30.11,19.78,33.38,41.23,25.86,78.84,72.71,34.3,29.77,32.67
8,34.31,26.14,113.65,26.55,67.43,3.96,41.78,0.0,45.32,50.87,32.06,2.32,47.75,76.89,47.55,47.26,49.76,77.41,54.58,34.51,118.63,72.63,54.05,70.08,88.56,88.56,49.45,64.87,68.09,136.55,117.41,44.05,541.63,35.15,88.56,20.37,104.84,46.36,83.87,74.08,56.91,47.67,98.84,16.58,46.63,27.81,46.41,75.72,39.03,65.3,57.0,16.58,24.46,72.63
9,68.38,44.82,146.3,55.93,74.24,47.7,45.82,45.29,0.0,62.48,40.17,43.18,68.26,97.4,68.06,67.77,84.98,97.92,75.09,68.58,107.91,73.96,43.82,76.88,109.07,109.07,63.02,85.38,69.86,157.06,144.06,77.29,562.14,69.22,109.07,44.34,94.12,66.87,107.34,94.59,77.42,68.18,139.03,57.03,72.56,56.4,75.82,82.52,68.3,121.34,97.44,57.03,58.53,73.96
10,32.15,30.85,104.32,27.8,16.59,53.97,19.52,51.55,57.92,0.0,31.63,49.39,3.98,31.09,4.64,6.89,41.33,31.61,5.69,30.13,100.11,21.79,31.16,19.24,47.93,47.93,2.98,39.07,23.47,95.92,97.46,33.64,501.0,31.58,47.93,44.17,86.33,23.21,59.17,33.45,15.23,22.33,92.72,43.3,28.9,28.27,32.17,24.88,24.65,75.03,87.38,43.3,39.43,21.79
