Start Place,End Place,Weight,Gen Day,Gen Timeframe
[0],[53],0.2,0,"[0, 2]"
[0],[16],6.4,2,"[7, 13]"
[0],[3],8.8,3,"[5, 22]"
[0],[12],3.0,1,"[13, 18]"
[0],[62],0.5,3,"[11, 21]"
[0],[15],7.2,0,"[2, 17]"
[0],[21],4.7,3,"[7, 22]"
[0],[72],1.3,0,"[4, 16]"
[0],[46],3.2,2,"[11, 13]"
[0],[51],7.3,2,"[0, 7]"
[0],[96],1.5,0,"[6, 8]"
[0],[69],3.5,1,"[1, 17]"
[0],[17],4.9,3,"[13, 15]"
[0],[93],6.6,0,"[21, 22]"
[0],[54],1.5,2,"[5, 18]"
[0],[13],5.1,3,"[9, 22]"
[0],[22],1.7,3,"[11, 21]"
[0],[1],4.5,0,"[12, 14]"
[0],[39],7.6,0,"[15, 22]"
[0],[20],0.8,1,"[8, 11]"
[0],[41],7.7,0,"[16, 20]"
[0],[56],4.1,0,"[8, 21]"
[0],[92],7.0,1,"[6, 15]"
[0],[30],2.7,3,"[0, 16]"
[0],[67],3.3,3,"[3, 4]"
[0],[32],0.1,3,"[13, 22]"
[0],[57],7.4,2,"[5, 8]"
[0],[14],7.6,2,"[12, 18]"
[0],[64],9.3,2,"[4, 5]"
[0],[45],3.5,2,"[4, 16]"
[0],[33],1.6,0,"[3, 4]"
[0],[58],3.7,1,"[12, 14]"
[0],[43],5.8,1,"[13, 14]"
[0],[26],2.6,0,"[2, 21]"
[0],[29],4.8,1,"[4, 15]"
[0],[61],6.8,1,"[0, 17]"
[0],[24],4.7,0,"[5, 6]"
[0],[34],3.4,1,"[4, 23]"
[0],[63],1.8,2,"[4, 11]"
[0],[66],4.8,0,"[4, 14]"
[0],[23],8.6,2,"[6, 22]"
[0],[78],0.3,1,"[8, 21]"
[0],[75],4.5,2,"[3, 17]"
[0],[70],2.6,3,"[3, 16]"
[0],[18],7.5,3,"[3, 11]"
[0],[77],7.3,0,"[7, 17]"
[0],[94],6.0,0,"[17, 21]"
[0],[36],2.8,2,"[1, 11]"
[0],[79],4.2,3,"[3, 5]"
[0],[11],3.1,2,"[1, 23]"
